"filename", "language", "JavaScript", "JSON with Comments", "TypeScript", "JSON", "XML", "Markdown", "Properties", "TypeScript JSX", "Ignore", "CSS", "Java", "comment", "blank", "total"
"h:\cursor\for_fun\genarate-svg - vercel\src\app\api\svgs\[id]\get\route.ts", "TypeScript", 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 31, 6, 78
"h:\cursor\for_fun\genarate-svg - vercel\src\app\api\svgs\[id]\route.ts", "TypeScript", 0, 0, 160, 0, 0, 0, 0, 0, 0, 0, 0, 117, 28, 305
"h:\cursor\for_fun\genarate-svg - vercel\src\app\api\svgs\official\route.ts", "TypeScript", 0, 0, 50, 0, 0, 0, 0, 0, 0, 0, 0, 18, 7, 75
"h:\cursor\for_fun\genarate-svg - vercel\src\app\api\svgs\route.ts", "TypeScript", 0, 0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 35, 9, 90
"h:\cursor\for_fun\genarate-svg - vercel\src\app\api\swagger\route.ts", "TypeScript", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"h:\cursor\for_fun\genarate-svg - vercel\src\app\api\templates\random\route.ts", "TypeScript", 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 19, 5, 39
"h:\cursor\for_fun\genarate-svg - vercel\src\app\api\test-db\route.ts", "TypeScript", 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 22
"h:\cursor\for_fun\genarate-svg - vercel\src\app\api\test\db\route.ts", "TypeScript", 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 19
"h:\cursor\for_fun\genarate-svg - vercel\src\app\api\test\llm\route.ts", "TypeScript", 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 31
"h:\cursor\for_fun\genarate-svg - vercel\src\app\api\test\route.ts", "TypeScript", 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 23
"h:\cursor\for_fun\genarate-svg - vercel\src\app\api\test\showcase\route.ts", "TypeScript", 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 25
"h:\cursor\for_fun\genarate-svg - vercel\src\app\api\user\avatar\route.ts", "TypeScript", 0, 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 4, 11, 62
"h:\cursor\for_fun\genarate-svg - vercel\src\app\api\user\password\route.ts", "TypeScript", 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 45
"h:\cursor\for_fun\genarate-svg - vercel\src\app\api\user\profile\route.ts", "TypeScript", 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 43
"h:\cursor\for_fun\genarate-svg - vercel\src\app\community\not-found.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 7
"h:\cursor\for_fun\genarate-svg - vercel\src\app\error\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 4, 30
"h:\cursor\for_fun\genarate-svg - vercel\src\app\globals.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 166, 0, 8, 26, 200
